imagen_base,par_lpips,lpips_sim,par_msssim,ms_ssim
C:\workspace\data\test\impressionism\gustave-caillebotte_fishermen-on-the-banks-of-the-yerres.jpg,C:\workspace\data\test\impressionism\gregoire-boonzaier_still-life-with-teapot-1930.jpg,0.4785,C:\workspace\data\test\impressionism\charles-courtney-curran_the-lanterns-1910.jpg,0.1781
C:\workspace\data\test\impressionism\john-singer-sargent_claude-monet-painting-by-the-edge-of-a-wood-1885.jpg,C:\workspace\data\test\impressionism\henry-herbert-la-thangue_at-the-well.jpg,0.4592,C:\workspace\data\test\impressionism\henri-de-toulouse-lautrec_portrait-of-a-young-woman.jpg,0.2182
C:\workspace\data\test\impressionism\richard-jack_on-the-moors.jpg,C:\workspace\data\test\impressionism\giuseppe-de-nittis_woman-on-the-beach.jpg,0.4625,C:\workspace\data\test\impressionism\giuseppe-de-nittis_woman-on-the-beach.jpg,0.3272
C:\workspace\data\test\impressionism\henry-herbert-la-thangue_the-young-farmhand-1885.jpg,C:\workspace\data\test\impressionism\frederic-bazille_self-portrait-at-saint-saveur-1868.jpg,0.4312,C:\workspace\data\test\impressionism\meta-vaux-warrick-fuller_lazy-bones-1930.jpg,0.2861
C:\workspace\data\test\impressionism\stefan-popescu_street-from-bretania-1.jpg,C:\workspace\data\test\impressionism\kmetty-janos_curved-street-at-szentendre.jpg,0.4442,C:\workspace\data\test\impressionism\arkhip-kuindzhi_autumn-fog.jpg,0.3055
C:\workspace\data\test\impressionism\frits-thaulow_cottage-by-a-stream.jpg,C:\workspace\data\test\impressionism\julius-leblanc-stewart_picnic-under-the-trees.jpg,0.4148,C:\workspace\data\test\impressionism\arkhip-kuindzhi_sea-coast-crimea.jpg,0.2532
C:\workspace\data\test\impressionism\albert-julius-olsson_seascape-evening.jpg,C:\workspace\data\test\impressionism\maurice-braun_seascape-1928.jpg,0.4468,C:\workspace\data\test\impressionism\james-mcneill-whistler_study-of-a-head.jpg,0.2451
C:\workspace\data\test\impressionism\camille-pissarro_the-seine-viewed-from-the-pont-neuf-winter-1902.jpg,C:\workspace\data\test\impressionism\johan-jongkind_entree-de-port-honfleur-1866-1866.jpg,0.491,C:\workspace\data\test\impressionism\albert-julius-olsson_a-song-of-the-sea.jpg,0.3834
C:\workspace\data\test\impressionism\hugo-muhlig_hunter-with-dog.jpg,C:\workspace\data\test\impressionism\charles-sprague-pearce_le-retour-du-troupeau.jpg,0.4528,C:\workspace\data\test\impressionism\arthur-streeton_princess-burke-wills-1889.jpg,0.292
C:\workspace\data\test\impressionism\antoine-blanchard_place-de-la-madeleine-hiver.jpg,C:\workspace\data\test\impressionism\jan-toorop_the-sea-at-katwijk-1887.jpg,0.4461,C:\workspace\data\test\impressionism\julian-ashton_sentry-box-reach-hawkesbury-river-new-south-wales-1886.jpg,0.2682
C:\workspace\data\test\impressionism\isaac-levitan_lake-in-the-forest.jpg,C:\workspace\data\test\impressionism\anders-zorn_a-woman-in-a-forest-1907.jpg,0.4101,C:\workspace\data\test\impressionism\ivan-grohar_povodne-vile-1899.jpg,0.2613
C:\workspace\data\test\impressionism\henri-martin_port-of-marseille-2.jpg,C:\workspace\data\test\impressionism\thalia-flora-karavia_path-in-the-forest.jpg,0.449,C:\workspace\data\test\impressionism\konstantinos-volanakis_boat-at-moonlight.jpg,0.2258
C:\workspace\data\test\impressionism\eva-gonzales_women-in-white.jpg,C:\workspace\data\test\impressionism\robert-spencer_alarm-clock-1928.jpg,0.4185,C:\workspace\data\test\impressionism\joaqu-n-sorolla_mother-and-daughter-valencia-beach-1916.jpg,0.2383
C:\workspace\data\test\impressionism\adam-baltatu_house-with-flowers.jpg,C:\workspace\data\test\impressionism\max-liebermann_restaurant-de-oude-vink-1905.jpg,0.4573,C:\workspace\data\test\impressionism\john-atkinson-grimshaw_gourock-near-the-clyde-shipping-docks.jpg,0.3135
C:\workspace\data\test\impressionism\albert-aublet_lheure-du-bain-au-treport.jpg,C:\workspace\data\test\impressionism\ivan-mrkvicka_zadushnitsa-1890.jpg,0.4592,C:\workspace\data\test\impressionism\julian-ashton_sentry-box-reach-hawkesbury-river-new-south-wales-1886.jpg,0.2074
